i_d,n_espacio,area,tipo_nl,tipo_2,com_dir,asesor_ext,com_tec,coordinadxr,secret,particip,financia,period,colab,invest,docenc,difus,interdis,intercam,vincula,espacio,editorial,coord,contrata ,clases,clases_par,clases_dis
30,Seminario Universitario de las Culturas del Medio Oriente (SUCUMO),humanidades ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,com_tec,coordinadxr,secretaría ,11 a 15,UNAM ,2016-2020,colab,investiga,no_docen,no_difusion ,no_interdisc,no_intercam,no_vincula,no_espac,edito,no_coord,no_contrata ,uno ,,uno 
31,"Seminario Universitario de Sociedad, Medio Ambiente e Instituciones (SUSMAI)",humanidades ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,com_tec,coordinadxr,secretaría ,6 a 10,UNAM ,2016-2020,colab,investiga,no_docen,difusión ,no_interdisc,no_intercam,vincula,no_espac,edito,no_coord,no_contrata ,uno ,uno ,
32,Seminario Universitario Interdisciplinario sobre Racismo y Xenofobia (SURXE),humanidades ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,com_tec,coordinadxr,secretaría ,11 a 15,UNAM ,2016-2020,no_colab,investiga,no_docen,difusión ,no_interdisc,no_intercam,vincula,no_espac,edito,no_coord,no_contrata ,uno ,,uno 
33,Seminario Universitario Interdisciplinario sobre Seguridad Ciudadana (SUISC),humanidades ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,com_tec,coordinadxr,secretaría ,16 a 20,UNAM ,2016-2020,no_colab,investiga,no_docen,no_difusion ,interdisc,no_intercam,vincula,espac,no_edito,no_coord,no_contrata ,uno ,,uno 
34,"Cátedra Extraordinaria “Octavio Paz”, Poesía y Pensamiento Crítico",humanidades ,Cátedra extraordinaria ,CATEDRA,com_dir,no_asesor_ex,no_com_tec,coordinadxr,secretaría ,1 a 5,UNAM ,2021-2024,colab,investiga,no_docen,difusión ,interdisc,intercamb,no_vincula,espac,no_edito,no_coord,no_contrata ,seis ,,
35,Cátedra Extraordinaria Clara Porset en Diseño Moderno y Contemporáneo (Cátedra Extraordinaria “Clara Porset”),humanidades ,Cátedra extraordinaria ,CATEDRA,com_dir,asesor_ext,no_com_tec,coordinadxr,no_secretaría,1 a 5,mixta,2021-2024,colab,investiga,docen,difusión ,no_interdisc,intercamb,vincula,espac,no_edito,no_coord,no_contrata ,seis ,seis ,seis 
36,"Cátedra Extraordinaria de Estudios Canadienses Margaret Atwood, Alanis Obomsawin y Gabrielle Roy (Cátedra Extraordinaria de Estudios Canadienses)",humanidades ,Cátedra extraordinaria ,CATEDRA,com_dir,asesor_ext,no_com_tec,coordinadxr,no_secretaría,1 a 5,mix_int,2021-2024,no_colab,investiga,no_docen,difusión ,no_interdisc,intercamb,no_vincula,espac,no_edito,no_coord,no_contrata ,cinco ,cinco ,cinco 
37,Cátedra Extraordinaria de Estudios sobre Las Américas,humanidades ,Cátedra extraordinaria ,CATEDRA,com_dir,no_asesor_ex,no_com_tec,coordinadxr,no_secretaría,1 a 5,mixta,2021-2024,no_colab,investiga,docen,difusión ,interdisc,intercamb,no_vincula,no_espac,edito,no_coord,no_contrata ,seis ,,seis 
38,Cátedra Extraordinaria de Excelencia UNAM–Sorbonne Université,humanidades ,Cátedra extraordinaria ,CATEDRA,com_dir,asesor_ext,com_tec,coordinadxr,no_secretaría,1 a 5,mix_int,2021-2024,colab,investiga,no_docen,no_difusion ,interdisc,intercamb,no_vincula,no_espac,edito,coord,no_contrata ,cinco ,cinco ,cinco 
39,Cátedra Extraordinaria Eavan Boland-Anne Enright de Estudios Irlandeses,humanidades ,Cátedra extraordinaria ,CATEDRA,com_dir,no_asesor_ex,com_tec,coordinadxr,no_secretaría,1 a 5,mix_int,2021-2024,colab,investiga,no_docen,difusión ,no_interdisc,intercamb,vincula,no_espac,edito,no_coord,no_contrata ,cinco ,cinco ,cinco 
